# {"t_start": 1591861068.7047625, "env_id": "Humanoid-v2"} 
r,l,t
144.934688,29,73.893898
180.851249,37,74.006153
173.786784,33,74.110005
158.545101,31,74.201329
86.361115,18,74.261832
227.133492,44,74.390467
176.347274,37,74.496534
100.704197,21,74.558559
99.487632,20,74.620595
163.27442,35,74.726325
89.875466,18,74.77796
215.218849,43,74.91607
93.588083,19,74.978294
389.659901,78,75.206592
102.301552,21,75.266759
313.65001,59,75.440199
176.493223,35,75.533246
171.395555,35,75.631835
164.372785,33,75.722931
272.986353,55,75.879896
113.617478,23,75.943781
175.663056,40,76.052813
178.782621,35,76.156022
185.380374,36,76.266987
183.5267,36,76.36963
153.674247,31,76.460214
173.536678,36,76.559821
175.518099,37,76.660623
219.48359,43,76.779464
131.79979,26,76.847795
119.778233,24,76.913737
148.409129,30,77.005229
220.510527,43,77.129124
245.040952,49,77.273566
92.012828,19,77.330273
93.276199,19,77.386678
247.674712,48,77.5305
160.806517,32,77.624923
263.317976,50,77.774546
225.28752,46,77.909358
137.916135,27,77.995461
101.365649,21,78.062313
310.358354,58,78.255083
131.060669,26,78.339437
159.018686,32,78.438601
91.819252,19,78.508372
207.470863,45,78.64709
220.761727,42,78.784652
186.312517,38,78.896377
250.372283,49,79.052896
193.767598,40,81.083563
81.798445,17,81.136936
155.234935,32,81.239713
87.04939,18,81.295468
172.524783,34,81.401226
87.167791,18,81.458252
160.247169,36,81.570805
241.666432,49,81.719147
212.07289,44,81.845769
200.298734,42,81.968758
180.611719,36,82.083699
154.615452,30,82.171515
110.32065,22,82.233481
292.579848,59,82.403851
213.03144,43,82.523088
98.833438,20,82.581216
76.672688,16,82.627063
204.900169,43,82.751931
191.591429,41,82.878145
117.534017,23,82.947434
177.925769,34,83.050897
93.37128,19,83.10609
223.682249,47,83.246928
163.194164,33,83.337638
134.78385,28,83.418994
104.91462,23,83.49103
197.680306,39,83.609568
265.058433,57,83.775382
194.334267,39,83.889434
217.905519,44,84.017072
204.16317,44,84.145634
200.14742,43,84.261893
147.467604,29,84.344335
155.337688,30,84.433721
133.77989,28,84.514148
177.623707,37,84.622045
178.838317,36,84.722898
193.897365,38,84.832961
230.5999,47,84.95975
109.171353,22,85.026003
279.33763,59,85.200853
243.0454,47,85.337407
99.491967,20,85.392663
171.631049,34,85.495012
241.101541,46,85.629986
168.655856,36,85.738072
189.350718,37,85.844441
86.327884,18,85.902941
197.171565,40,86.019511
131.17819,26,86.096213
137.956205,27,86.18991
173.38639,34,86.302976
162.384112,34,86.410989
87.479224,19,86.476115
86.337778,18,86.532272
92.82695,19,86.588793
213.064488,43,86.715777
311.373197,69,86.934728
277.706025,58,87.122993
180.771232,35,89.081841
81.264296,17,89.128062
229.476829,48,89.254865
117.984571,24,89.318651
231.098126,47,89.503893
203.111045,42,89.626268
86.813409,18,89.680985
121.273146,24,89.761522
162.254754,35,89.863346
115.129847,23,89.937042
92.374711,19,89.993298
147.837397,29,90.08465
141.411622,30,90.169414
139.957045,27,90.250365
380.05081,78,90.480914
248.343184,51,90.632674
232.526178,47,90.773993
230.496403,47,90.921129
318.690906,66,91.1417
134.593342,27,91.218546
227.711924,48,91.352765
247.778165,52,91.507388
322.532161,65,91.702235
167.777702,34,91.801191
202.097544,44,91.931863
332.643086,65,92.126811
96.90726,20,92.193365
150.458333,30,92.289833
81.816843,17,92.342851
291.434796,59,92.499815
98.244502,20,92.554838
76.350081,16,92.599064
156.756538,33,92.688174
172.924333,34,92.784647
184.381882,37,92.885259
173.443175,35,92.979133
143.32096,29,93.062381
180.073265,34,93.182058
267.970389,51,93.354278
178.508096,40,93.487809
401.588739,84,93.738886
201.333872,43,93.864691
237.672266,46,94.009645
234.929142,49,94.169145
100.653612,20,94.23418
184.924108,38,94.360874
105.200968,21,94.423304
139.664965,27,94.516305
200.718744,39,94.637407
287.077938,57,94.816991
341.652556,65,95.033267
195.140335,38,95.149247
71.57167,15,95.20032
98.630942,21,97.152719
193.882242,40,97.269644
265.590237,55,97.430685
179.867367,36,97.538247
222.431228,44,97.670148
249.177289,50,97.816662
233.98735,49,97.960661
268.178065,56,98.126126
93.461607,19,98.185694
159.392433,34,98.291694
221.899587,45,98.417564
258.1194,53,98.574002
81.646231,17,98.620692
316.300172,58,98.793338
175.598454,35,98.903717
81.285688,17,98.959422
179.051735,35,99.07149
350.711964,75,99.305908
232.026205,47,99.438075
185.613581,39,99.552031
108.922874,22,99.617777
98.507924,20,99.678683
231.862535,51,99.825045
120.62858,24,99.898339
211.682852,44,100.027793
320.477554,63,100.207598
197.027396,41,100.327182
248.722328,48,100.471162
199.923107,40,100.585796
152.853271,31,100.67803
163.827109,34,100.78601
228.641804,44,100.918493
248.53667,53,101.086941
144.230048,32,101.183239
105.057272,21,101.250803
98.932285,20,101.312538
139.936497,28,101.399305
225.632969,43,101.519843
135.098747,30,101.603164
268.81404,59,101.788698
233.857868,52,101.943225
188.353404,37,102.048584
115.622532,23,102.11426
127.547711,25,102.188767
94.818059,19,102.256473
313.666789,63,102.466335
126.19234,24,102.540246
181.076188,40,102.667756
169.673199,37,102.779087
296.67502,55,102.94843
317.796426,67,103.161653
296.192637,56,105.196536
330.108931,68,105.399736
107.600406,23,105.465792
273.973135,51,105.610271
245.608101,48,105.756987
187.997435,38,105.86533
225.284577,48,105.994472
266.193669,51,106.143741
149.616474,31,106.237522
322.961755,60,106.420578
178.162515,38,106.53602
205.462428,41,106.661393
273.194897,53,106.823311
233.600292,47,106.963225
203.305277,39,107.083536
459.321208,89,107.355933
176.31525,37,107.461489
201.16628,42,107.582553
236.489018,47,107.718045
276.668067,52,107.86566
160.746171,32,107.960447
229.801361,44,108.085856
273.872175,55,108.259558
278.800835,55,108.411535
222.362008,43,108.534098
277.123681,52,108.68736
207.072982,39,108.808789
260.085219,49,108.951983
192.278503,41,109.070441
206.863304,42,109.202308
206.62971,42,109.325575
265.453496,53,109.479424
288.366927,64,109.67669
138.384165,29,109.767217
136.316314,30,109.857704
238.810492,46,110.003243
269.977808,53,110.165799
398.422776,79,110.422414
237.593392,49,110.574648
188.087312,38,110.696546
141.288625,31,110.781851
200.565941,38,110.892449
296.069463,56,111.052944
248.975105,55,111.233205
335.328893,71,113.363837
209.677456,42,113.495027
292.269252,58,113.671792
165.052632,33,113.77226
220.605988,42,113.902864
379.728564,76,114.149667
86.775205,18,114.199773
252.420451,53,114.365351
227.499444,44,114.49539
220.368169,45,114.624719
149.707809,32,114.716516
220.27207,45,114.85082
334.766528,67,115.046795
269.499841,59,115.213419
146.566041,31,115.312211
260.389943,54,115.4715
165.835294,33,115.565307
281.837936,55,115.721559
429.482623,85,115.950513
316.757549,61,116.11534
91.335759,19,116.164636
186.089937,35,116.266811
274.525206,54,116.413508
267.357721,51,116.552254
192.100748,40,116.661886
161.313638,32,116.754157
293.65354,55,116.919286
347.533389,70,117.137436
149.38803,32,117.23814
244.254432,47,117.390393
261.164742,58,117.561601
292.81864,55,117.732289
462.713459,91,118.005493
245.216606,53,118.178999
337.327758,63,118.389372
157.708298,33,118.506617
204.465719,41,118.642473
175.362705,36,118.74578
214.515305,47,118.900864
318.797363,68,119.127125
213.857341,45,119.269304
216.276448,45,121.222982
261.729058,50,121.365747
212.653145,43,121.490841
151.740686,30,121.57832
264.040573,57,121.73818
292.356512,55,121.902473
162.558693,33,121.998779
369.490942,70,122.209253
204.44048,40,122.329068
201.248577,43,122.462649
368.29295,71,122.693294
291.571918,56,122.85411
337.469418,71,123.065473
192.363686,38,123.181796
417.547663,78,123.41371
248.717885,47,123.544199
173.040537,34,123.647067
122.322311,26,123.727091
312.60901,60,123.899758
187.214938,37,124.005606
224.643666,47,124.145749
207.621427,40,124.267426
268.086608,56,124.436325
86.148023,18,124.484518
280.389326,56,124.636094
169.498119,33,124.727931
232.059059,46,124.866305
211.087726,41,124.986427
240.881386,46,125.127258
211.460447,45,125.26748
321.68062,62,125.457891
198.203113,40,125.583118
419.734015,83,125.837085
373.865159,74,126.05984
344.100089,67,126.276406
236.736358,48,126.427539
305.14314,56,126.613404
223.017301,51,126.775465
249.579241,52,126.931575
196.58935,38,127.041912
213.380108,41,127.160796
108.230057,22,127.227838
206.044599,39,127.34954
164.043878,35,129.29622
239.074402,50,129.430628
303.135501,64,129.613162
296.392712,58,129.790523
