approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.041198105,0.65838623,250.18,1404.5961506000003,0.9461032226681709,1064,488,16.481363,-0.032326803,999424,3717.5219163894653,3997696,0.019081766
0.037643127,0.6476685,254.2,1428.93424875,0.9521290697157383,1023,489,16.468197,-0.032072686,1001472,3725.5278437137604,4005888,0.01676361
0.041927326,0.6562012,242.9,1363.9118408799998,0.9454267546534538,1087,490,16.445871,-0.033354387,1003520,3733.0640935897827,4014080,0.01868764
0.041859448,0.6636963,238.94,1338.4124476399998,0.9446166008710861,1008,491,16.42822,-0.032878365,1005568,3741.1909470558167,4022272,0.018449645
0.039369293,0.6604492,248.02,1385.5101345399996,0.9294846057891846,1185,492,16.40244,-0.032109596,1007616,3748.10240316391,4030464,0.023192583
0.040963907,0.6519165,246.27,1369.5116140599996,0.954792931675911,1099,493,16.391747,-0.033566516,1009664,3755.5560672283173,4038656,0.017128237
0.04188786,0.6569214,244.95,1366.33270211,0.9509749747812748,1079,494,16.386044,-0.0324203,1011712,3763.1445693969727,4046848,0.016662734
0.03877869,0.65738523,247.91,1384.00144887,0.9488856606185436,1086,495,16.380356,-0.031936668,1013760,3770.68182182312,4055040,0.016823595
0.04011472,0.6596924,245.28,1367.5220787600003,0.9584821835160255,1130,496,16.347635,-0.032988735,1015808,3777.93181180954,4063232,0.016194025
0.04079665,0.65726316,254.44,1421.36398996,0.9421500414609909,1118,497,16.323107,-0.03411711,1017856,3785.255298137665,4071424,0.018620284
0.043545596,0.6595825,247.73,1382.7317139200002,0.9469445534050465,1117,498,16.293589,-0.031833503,1019904,3792.589203119278,4079616,0.017828103
0.043393645,0.6574707,262.88,1472.7976130800002,0.9472198784351349,1097,499,16.263311,-0.030405063,1021952,3800.0570755004883,4087808,0.018857542
0.04014244,0.65664065,247.06,1380.78989153,0.9489579126238823,1104,500,16.256275,-0.03261303,1024000,3807.473076105118,4096000,0.019245654
0.03971925,0.6510376,239.08,1334.4648185199997,0.9536191262304783,1080,501,16.239645,-0.03179954,1026048,3815.0536534786224,4104192,0.017096251
0.03956004,0.65866697,230.98,1290.70501012,0.9569177739322186,1078,502,16.22238,-0.033478092,1028096,3822.64848613739,4112384,0.016172666
0.040136993,0.660498,243.07,1361.72326664,0.9450769051909447,1142,503,16.177895,-0.03171257,1030144,3829.819013118744,4120576,0.018240083
0.044781476,0.66895753,253.37,1424.2624854499998,0.9431454502046108,1099,504,16.132772,-0.031906225,1032192,3837.2723336219788,4128768,0.019314215
